"","period","country_ID","country_no","CAB","GDPPC_PPP","invest","gov_debt","openness","demand","x_price","gov_deficit","credit","GDP_gr"
"1",1980,"AUT",17,NA,11201.815,33.281,33.97465882,0.620420247,0.014295246,0.590778589,0.770148,71.21719399,2.314
"2",1981,"AUT",17,NA,12210.989,29.008,36.08086417,0.620103717,-0.005594145,0.522553861,0.86964,74.488606,-0.099
"3",1982,"AUT",17,NA,13199.46,26.123,38.88370994,0.593265593,-0.000432044,0.515211999,-0.320114,73.8734676,1.908
"4",1983,"AUT",17,NA,14146.935,25.474,43.96632362,0.581464931,0.027621633,0.500706017,-1.32098,74.26636312,2.804
"5",1984,"AUT",17,NA,14696.02,27.373,42.34965028,0.639538884,-0.000226498,0.467192799,0.584218,72.44303637,0.332
"6",1985,"AUT",17,NA,15496.074,27.009,45.35615818,0.682459503,0.027683816,0.462620318,0.715244,80.43700172,2.243
"7",1986,"AUT",17,NA,16161.601,26.899,48.27946289,0.726307094,0.016207404,0.537353694,-0.319209,76.33119208,2.341
"8",1987,"AUT",17,NA,16830.155,27.045,54.57259976,0.755937159,0.021642188,0.589494288,-0.517999,78.64104485,1.681
"9",1988,"AUT",17,NA,17564.354,25.784,58.88437657,0.750519395,0.040971651,0.629386783,-0.1164,82.28764801,0.961
"10",1989,"AUT",17,NA,18911.718,26.616,58.9279897,0.731264472,0.040063783,0.642752707,0.234469,85.70928826,3.887
"11",1990,"AUT",17,NA,20328.262,26.835,56.20161188,0.861435175,0.041828791,0.66577512,0.894086,89.14368056,4.346
"12",1991,"AUT",17,NA,21541.537,27.105,56.4038715,0.759027302,0.034532556,0.713470817,0.69047,89.94066766,3.442
"13",1992,"AUT",17,NA,22240.075,26.423,56.37069269,0.859392107,0.023042251,0.641718864,1.73207,90.45244226,2.094
"14",1993,"AUT",17,NA,22646.346,25.489,60.89552286,0.767744005,0.00108718,0.649860382,-0.53174,91.37584443,0.527
"15",1994,"AUT",17,NA,23545.919,26.319,64.18847138,0.7858105,0.031630537,0.674030423,-1.20775,89.95287691,2.402
"16",1995,"AUT",17,NA,24632.3,26.899,68.39436433,0.848044813,0.025620108,0.726893902,-1.80087,91.93337316,2.668
"17",1996,"AUT",17,NA,25652.404,26.481,68.32922825,0.833407879,0.020133417,0.753295898,-0.129785,94.84238234,2.398
"18",1997,"AUT",17,NA,26627.101,26.323,64.35378345,0.817094475,0.011190063,0.708084285,1.79421,100.1828618,2.205
"19",1998,"AUT",17,NA,27852.898,26.225,64.77597671,0.854760468,0.024560466,0.662151635,1.22437,98.74879623,3.56
"20",1999,"AUT",17,NA,29252.546,26.202,67.20697177,0.812839627,0.027536815,0.655412376,1.07776,97.31473068,3.59
"21",2000,"AUT",17,NA,30849.744,26.009,66.55473208,0.850068361,0.019122189,0.615403354,1.7623,100.347511,3.368
"22",2001,"AUT",17,NA,31904.4,25.206,67.32513712,0.925247669,0.00519469,0.601922095,3.32088,102.2528021,1.351
"23",2002,"AUT",17,NA,32756.206,23.667,66.59094808,0.935346693,-0.005145079,0.606705785,2.41828,101.9121959,1.656
"24",2003,"AUT",17,NA,33509.471,24.472,65.74010416,1.045098603,0.023095732,0.664840043,1.42392,102.0890849,0.756
"25",2004,"AUT",17,NA,35178.858,24.111,65.3724389,1.174415648,0.017141511,0.703725636,-1.61342,102.9883354,2.706
"26",2005,"AUT",17,NA,36822.054,23.886,64.7639077,1.200758398,0.020824576,0.711083293,1.18234,112.0789062,2.141
"27",2006,"AUT",17,NA,38973.88,23.67,62.30560575,1.264075756,0.019367836,0.734321058,1.19245,113.1226593,3.351
"28",2007,"AUT",17,NA,41316.29,24.62,60.22338993,1.339678049,0.024970817,0.811392069,1.88009,112.0341639,3.621
"29",2008,"AUT",17,NA,42649.851,24.535,63.82977181,1.360540986,0.007250978,0.883466005,1.6551,116.5085964,1.547
"30",2009,"AUT",17,NA,41207.214,22.845,69.17074522,1.107364774,-0.01999808,0.874660552,-1.34045,121.6125631,-3.799
"31",2010,"AUT",17,NA,42430.637,22.654,72.26932353,1.211192906,0.018296101,0.848324239,-1.73517,119.0444103,1.929
